상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소,구우편번호,신우편번호,경도,위도
세븐일레븐화성조암점,소매,종합 소매,편의점,경기도 화성시 우정읍 조암남로33번길 6,445955.0,18567,126.818800573023,37.0845270762698
지은마트,소매,종합 소매,슈퍼마켓,경기도 오산시 오산로358번길 19,447140.0,18115,127.068943621085,37.158821019513
라피네,소매,종합 소매,슈퍼마켓,경기도 양주시 백석읍 꿈나무로 200,482835.0,11516,126.986182804868,37.7930970837076
명당,소매,종합 소매,슈퍼마켓,경기도 남양주시 와부읍 수레로 10,472901.0,12209,127.213239734828,37.5867256952503
미니스톱오산우리점,소매,종합 소매,편의점,경기도 오산시 궐동로69번길 31,447140.0,18120,127.064135273535,37.1573910366492
씨유수원삼성SDI점,소매,종합 소매,편의점,경기도 수원시 영통구 삼성로 130,443803.0,16678,127.05745433589,37.2546719178074
GS25태안,소매,종합 소매,편의점,경기도 화성시 안녕남로 9,445380.0,18364,126.985233111293,37.1985406437897
세븐일레븐파주두일점,소매,종합 소매,편의점,경기도 파주시 돌단풍길 15,413120.0,10884,126.711181078098,37.7195675959761
GS25파주연풍점,소매,종합 소매,편의점,경기도 파주시 파주읍 술이홀로 414,413863.0,10834,126.832816374187,37.8299365544802
지에스25금정,소매,종합 소매,편의점,경기도 군포시 군포로745번길 62,435842.0,15811,126.939759788647,37.3698407852557
슈퍼마켓,소매,종합 소매,슈퍼마켓,경기도 광명시 소하일로52번길 16,423051.0,14317,126.889280266762,37.4497517605474
GS25교하다율점,소매,종합 소매,편의점,경기도 파주시 순못길 44,413080.0,10878,126.716015338328,37.7278322164357
이마트24중산,소매,종합 소매,편의점,경기도 고양시 일산동구 하늘마을로93번길 20,410315.0,10310,126.785779402651,37.6799937935517
씨유양평강남로점,소매,종합 소매,편의점,경기도 양평군 강하면 강남로 298,476922.0,12575,127.418828826585,37.5004277238365
지에스25수지신수로,소매,종합 소매,편의점,경기도 용인시 수지구 신수로 805,448500.0,16826,127.102176423326,37.341997264865
지산유통,소매,종합 소매,슈퍼마켓,경기도 안양시 만안구 충훈로 81,430853.0,13973,126.89940659063,37.4073229274743
지에스25의정,소매,종합 소매,편의점,경기도 의정부시 의정로 171,480815.0,11675,127.034300889191,37.7482879292078
께끼뱅크우만,소매,종합 소매,슈퍼마켓,경기도 수원시 팔달구 경수대로642번길 42-2,442819.0,16239,127.031202171293,37.283830433161
GS25파주TOP,소매,종합 소매,편의점,경기도 파주시 월롱면 엘씨디로8번길 38,413811.0,10845,126.775825259648,37.8119669183178
신앙촌상회,소매,종합 소매,슈퍼마켓,경기도 구리시 안골로20번길 74,471808.0,11935,127.134100607827,37.5941762048925
금용화성,소매,종합 소매,슈퍼마켓,경기도 화성시 동탄기흥로 41,,18487,127.087176705814,37.1644676513083
이마트24시편의점,소매,종합 소매,편의점,경기도 시흥시 배곧4로 106-26,,15010,126.731163386432,37.3705417241932
365할인마트,소매,종합 소매,슈퍼마켓,경기도 수원시 권선구 세지로56번길 44,441878.0,16579,127.019185688492,37.2563512332159
다락재쉼터,소매,종합 소매,슈퍼마켓,경기도 가평군 설악면 다락재로 493,477855.0,12468,127.442471004219,37.6545725447324
위니비니롯데프리미엄아울렛파주점,소매,종합 소매,슈퍼마켓,경기도 파주시 회동길 390,413070.0,10881,126.693755316772,37.7178117771079
CU안산본오샘골점,소매,종합 소매,편의점,경기도 안산시 상록구 본이로 10,426811.0,15550,126.867684363432,37.2948884100892
주심참숯가마1층매점스낵,소매,종합 소매,슈퍼마켓,경기도 하남시 초광로 169,465220.0,12986,127.174964194744,37.5353327712655
세븐일레븐덕정,소매,종합 소매,편의점,경기도 양주시 덕정5길 14,482060.0,11450,127.064294181144,37.8447592532232
영마트,소매,종합 소매,슈퍼마켓,경기도 양주시 평화로1475번길 159,482050.0,11441,127.042559832713,37.8250111751724
세븐배곧호반써밋점,소매,종합 소매,편의점,경기도 시흥시 서울대학로264번길 12,,15011,126.724920391017,37.3674278487329
한주마트,소매,종합 소매,슈퍼마켓,경기도 양주시 평화로1429번길 50,482705.0,11443,127.044272062222,37.8201814163601
에이스식자재할인마트,소매,종합 소매,슈퍼마켓,경기도 성남시 중원구 산성대로 526,462832.0,13157,127.164474962998,37.457582044416
지에스25의정서해점,소매,종합 소매,편의점,경기도 의정부시 동일로466번길 5,480726.0,11738,127.05991812743,37.7299069242994
씨유안산시곡점,소매,종합 소매,편의점,경기도 안산시 상록구 감골1로 50,426748.0,15623,126.851961937519,37.2894635671986
