도로명우편번호,사업장명,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174)
301-050,이랜드리테일 NC 중앙로역점,백화점,238117.420454614,314301.953643137
,대전코아,백화점,,
,백화점 세이,백화점,236652.169401097,313435.556285727
,(주)현대백화점 울산점,백화점,411768.0407494,229164.489593214
680-746,롯데백화점 울산점,백화점,412001.966655452,229039.563308072
,한화갤러리아(주) 센터시티,백화점,209271.952837052,366567.801041603
448-702,(주) 신세계 사우스시티,백화점,209514.367988403,424782.528523847
42809,롯데백화점 상인점,백화점,339047.793378934,258741.902180368
41229,(주)신세계 동대구복합환승센터,백화점,347037.241970286,265407.404336831
,동명백화점,백화점,159271.535417339,-27435.1082417437
200-942,(주)메가마트 엠 춘천점,백화점,264033.833068137,486464.959442249
600-017,롯데백화점 광복점,백화점,385590.814676765,179553.867031936
682-713,(주)현대백화점 동구점,백화점,420520.452195917,227362.248793607
,(주)이마트 신월점,백화점,184796.999053109,448625.389554748
136-719,현대백화점 미아점,백화점,202466.801084521,456227.571720914
,현대백화점 신촌점,백화점,194265.067639805,450433.691021245
13992,(주)엔터식스패션쇼핑몰 안양점,백화점,,
780-020,(주)준성공,백화점,399897.502965733,262635.121193853
57929,뉴코아순천점,백화점,247410.736823692,163957.828214531
,셀비즈백화점,백화점,152495.151347759,-885.089142987237
140-780,아이파크(I PARK)백화점,백화점,196762.077394917,447480.039577359
,현대백화점목동점,백화점,188884.075622342,447186.888604306
,행복한백화점,백화점,188977.171050288,447466.355031447
,신세계백화점,백화점,198263.90839194,450960.762964932
07306,롯데백화점 영등포점,백화점,191741.345847708,445970.307641467
150-985,(주)신세계 타임스퀘어점,백화점,191581.500265536,446108.807192753
100-721,롯데백화점 본점,백화점,198259.65357739,451392.198218657
500-721,NC백화점 광주점,백화점,191482.021147695,184739.201719547
700-718,대백프라자,백화점,345032.238220744,262949.871621315
660-725,갤러리아백화점 진주점,백화점,298496.244248712,189144.044742329
