상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소,구우편번호,신우편번호,경도,위도
777당구장,예술·스포츠,스포츠 서비스,당구장,경기도 오산시 성호대로 130,447060.0,18139,127.07580063236,37.1484726773736
올웨이즈핏,예술·스포츠,스포츠 서비스,헬스장,경기도 평택시 평택5로34번길 22,450020.0,17902,127.112823633684,36.9895212528434
고향당구장,예술·스포츠,스포츠 서비스,당구장,경기도 화성시 우정읍 매바위로 70,445956.0,18559,126.816978285532,37.1220536524081
훼밀리스크린골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 수원시 권선구 오목천로57번길 10-24,441851.0,16636,126.969638457817,37.2403913963999
쏘폴스튜디오,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,경기도 양주시 옥정동로7다길 74,482130.0,11473,127.092815217696,37.8206847333087
즐거운락스피닝,예술·스포츠,스포츠 서비스,헬스장,경기도 파주시 중앙로 301,413800.0,10929,126.775452476715,37.7625395206187
양주탁구클럽,예술·스포츠,스포츠 서비스,탁구장,경기도 양주시 광적면 부흥로 941,482841.0,11416,126.994049419172,37.8099637139843
김장훈탁구클럽,예술·스포츠,스포츠 서비스,탁구장,경기도 수원시 장안구 송원로59번길 8,440806.0,16305,127.008019411551,37.300746754348
타워휘트니스센터,예술·스포츠,스포츠 서비스,헬스장,경기도 수원시 권선구 하탑로 54,441100.0,16610,126.977654246745,37.2691544907084
백운당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 의왕시 안양판교로 211,437110.0,16009,126.994647407242,37.3898136972731
코오롱글로벌스포렉스운정주,예술·스포츠,스포츠 서비스,수영장,경기도 파주시 와석순환로 415,413190.0,10894,126.751590110169,37.7239572908596
빅스타탁구클럽,예술·스포츠,스포츠 서비스,탁구장,경기도 군포시 번영로 508,435861.0,15862,126.933888476163,37.3579170650326
서연스크린골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 양평군 용문면 용문산로 178,476845.0,12511,127.604842194187,37.5135961447471
그린탑스크린골프존,예술·스포츠,스포츠 서비스,골프 연습장,경기도 광명시 디지털로33번길 23,423837.0,14239,126.870124405822,37.4758976280237
청북당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 평택시 청북읍 안청로2길 33-13,451832.0,17808,126.917239160254,37.0174254828865
엠에스휘트니스덕계점,예술·스포츠,스포츠 서비스,헬스장,경기도 양주시 평화로 1426,482050.0,11444,127.046269711926,37.8181084470864
대명당구장,예술·스포츠,스포츠 서비스,당구장,경기도 포천시 영중면 양문로 98-1,487883.0,11129,127.242852995465,38.0013529112037
모네타스크린골프클럽,예술·스포츠,스포츠 서비스,골프 연습장,경기도 의정부시 외미로 95,480853.0,11637,127.046041333111,37.7245974302576
01당구장,예술·스포츠,스포츠 서비스,당구장,경기도 수원시 권선구 장다리로 66,441878.0,16580,127.020391814941,37.2562609273035
현대스포츠센터,예술·스포츠,스포츠 서비스,헬스장,경기도 수원시 영통구 태장로 45,443777.0,16688,127.051965597857,37.2394467992219
부천브래그,예술·스포츠,스포츠 서비스,볼링장,경기도 부천시 원미구 길주로 125,420862.0,14542,126.756385153302,37.5061538294389
창우골프존,예술·스포츠,스포츠 서비스,골프 연습장,경기도 하남시 대청로116번길 30-1,465712.0,12954,127.223974032671,37.537907936395
건강해GYM,예술·스포츠,스포츠 서비스,헬스장,경기도 남양주시 오남읍 진건오남로 944,472881.0,12036,127.191242848316,37.7067742367571
의왕행복골프훈련소,예술·스포츠,스포츠 서비스,골프 연습장,경기도 의왕시 경수대로 262,437070.0,16058,126.973183215437,37.3506792217014
엔에이피FEEL스크린지점,예술·스포츠,스포츠 서비스,골프 연습장,경기도 고양시 덕양구 대주로107번길 34,412250.0,10456,126.813582984136,37.6363254344799
배틀존스크린골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 광주시 송정로 62,464100.0,12739,127.252613079753,37.4174845885717
에스라인휘트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 광주시 광주대로 56-1,464801.0,12757,127.260929651593,37.4116459575741
예스골프존,예술·스포츠,스포츠 서비스,골프 연습장,경기도 하남시 검단산로 293-4,465816.0,13023,127.232847755517,37.5388818710341
나단,예술·스포츠,스포츠 서비스,골프 연습장,경기도 수원시 영통구 덕영대로1555번길 20,443811.0,16700,127.062238453432,37.2466952598094
리프레쉬피트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 시흥시 남왕길 30,429320.0,14985,126.860913662138,37.3826229540805
TIP스크린골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 시흥시 산기대학로 237,429793.0,15073,126.733541499126,37.3397320279433
대지당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 성남시 수정구 산성대로 261,461862.0,13353,127.146019205735,37.4408204146093
스포데이,예술·스포츠,스포츠 서비스,헬스장,경기도 안성시 공도읍 공도로 159,456823.0,17560,127.176557854889,37.0034824243157
더블케이짐,예술·스포츠,스포츠 서비스,헬스장,경기도 용인시 기흥구 흥덕중앙로 41,446908.0,16953,127.071565234125,37.2765144920965
김범준트레이닝센터,예술·스포츠,스포츠 서비스,헬스장,경기도 성남시 중원구 양현로405번길 14,462080.0,13438,127.127403641622,37.4182264366778
